"","ncomm","sim_type","i","j"
"824",76,"lockdown, no surge",5,35
"825",80,"lockdown, surge",5,35
"826",99,"control",5,36
"827",82,"lockdown, no surge",5,36
"828",85,"lockdown, surge",5,36
"829",99,"control",5,37
"830",85,"lockdown, no surge",5,37
"831",87,"lockdown, surge",5,37
"832",100,"control",5,38
"833",86,"lockdown, no surge",5,38
"834",87,"lockdown, surge",5,38
"835",100,"control",5,39
"836",88,"lockdown, no surge",5,39
"837",88,"lockdown, surge",5,39
"838",100,"control",5,40
"839",91,"lockdown, no surge",5,40
"840",90,"lockdown, surge",5,40
"841",100,"control",5,41
"842",92,"lockdown, no surge",5,41
"843",93,"lockdown, surge",5,41
"844",100,"control",5,42
"845",93,"lockdown, no surge",5,42
"846",93,"lockdown, surge",5,42
"847",100,"control",5,43
"848",94,"lockdown, no surge",5,43
"849",93,"lockdown, surge",5,43
"850",100,"control",5,44
